tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,data,control,value,channel,program,note,velocity
5234,note_on,,,,,2,0,2,,,,,,,0,,65,0
5256,note_on,,,,,22,0,3,,,,,,,1,,55,86
5256,note_on,,,,,22,0,2,,,,,,,0,,67,86
5256,set_tempo,,,,,24,1,0,,1176470,,,,,,,,
5258,note_on,,,,,2,0,3,,,,,,,1,,57,0
5258,note_on,,,,,2,0,2,,,,,,,0,,69,0
5280,set_tempo,,,,,24,1,0,,1224489,,,,,,,,
5280,note_on,,,,,22,0,2,,,,,,,0,,65,83
5280,note_on,,,,,22,0,3,,,,,,,1,,53,83
5282,note_on,,,,,2,0,3,,,,,,,1,,55,0
5282,note_on,,,,,2,0,2,,,,,,,0,,67,0
5304,note_on,,,,,22,0,2,,,,,,,0,,64,80
5304,note_on,,,,,22,0,3,,,,,,,1,,52,80
5304,set_tempo,,,,,24,1,0,,1304347,,,,,,,,
5306,note_on,,,,,2,0,2,,,,,,,0,,65,0
5306,note_on,,,,,2,0,3,,,,,,,1,,53,0
5328,set_tempo,,,,,24,1,0,,1250000,,,,,,,,
5328,note_on,,,,,22,0,3,,,,,,,1,,50,76
5328,note_on,,,,,22,0,2,,,,,,,0,,62,75
5330,note_on,,,,,2,0,2,,,,,,,0,,64,0
5330,note_on,,,,,2,0,3,,,,,,,1,,52,0
5352,note_on,,,,,22,0,2,,,,,,,0,,60,70
5352,set_tempo,,,,,24,1,0,,1304347,,,,,,,,
5352,note_on,,,,,22,0,3,,,,,,,1,,48,73
5354,note_on,,,,,2,0,2,,,,,,,0,,62,0
5354,note_on,,,,,2,0,3,,,,,,,1,,50,0
5376,note_on,,,,,22,0,3,,,,,,,1,,47,50
5376,note_on,,,,,0,0,3,,,,,,,1,,35,70
5376,note_on,,,,,22,0,2,,,,,,,0,,55,100
5376,control_change,,,,,190,0,5,,,,,64,0,1,,,
5376,control_change,,,,,190,0,4,,,,,64,0,0,,,
5376,set_tempo,,,,,24,1,0,,1333333,,,,,,,,
5378,note_on,,,,,2,0,2,,,,,,,0,,60,0
5378,note_on,,,,,2,0,3,,,,,,,1,,48,0
5380,control_change,,,,,4,0,4,,,,,64,127,0,,,
5380,control_change,,,,,4,0,5,,,,,64,127,1,,,
5400,note_on,,,,,0,0,3,,,,,,,1,,55,60
5400,note_on,,,,,0,0,3,,,,,,,1,,62,48
5400,note_on,,,,,22,0,3,,,,,,,1,,65,68
5400,set_tempo,,,,,24,1,0,,1250000,,,,,,,,
5414,note_on,,,,,0,0,3,,,,,,,1,,62,0
5414,note_on,,,,,14,0,3,,,,,,,1,,55,0
5414,note_on,,,,,0,0,3,,,,,,,1,,65,0
5424,note_on,,,,,10,0,3,,,,,,,1,,65,56
5424,note_on,,,,,0,0,3,,,,,,,1,,62,36
5424,note_on,,,,,0,0,3,,,,,,,1,,55,48
5424,set_tempo,,,,,24,1,0,,1224489,,,,,,,,
5442,note_on,,,,,18,0,3,,,,,,,1,,55,0
5442,note_on,,,,,0,0,3,,,,,,,1,,62,0
5442,note_on,,,,,0,0,3,,,,,,,1,,65,0
5448,note_on,,,,,0,0,3,,,,,,,1,,62,28
5448,note_on,,,,,0,0,3,,,,,,,1,,55,40
5448,set_tempo,,,,,24,1,0,,1176470,,,,,,,,
5448,note_on,,,,,6,0,3,,,,,,,1,,65,48
5464,note_on,,,,,0,0,3,,,,,,,1,,65,0
5464,note_on,,,,,0,0,3,,,,,,,1,,62,0
5464,note_on,,,,,16,0,3,,,,,,,1,,55,0
5469,note_on,,,,,91,0,2,,,,,,,0,,77,40
5472,note_on,,,,,8,0,3,,,,,,,1,,35,0
5472,note_on,,,,,0,0,3,,,,,,,1,,31,45
5472,note_on,,,,,0,0,3,,,,,,,1,,43,30
5472,note_on,,,,,0,0,3,,,,,,,1,,47,0
5472,note_on,,,,,3,0,2,,,,,,,0,,55,0
5472,note_on,,,,,0,0,2,,,,,,,0,,89,55
5472,set_tempo,,,,,24,1,0,,1153846,,,,,,,,
5473,note_on,,,,,1,0,2,,,,,,,0,,77,0
5474,control_change,,,,,94,0,5,,,,,64,0,1,,,
5474,control_change,,,,,94,0,4,,,,,64,0,0,,,
5476,control_change,,,,,2,0,5,,,,,64,127,1,,,
5476,control_change,,,,,2,0,4,,,,,64,127,0,,,
5496,note_on,,,,,0,0,3,,,,,,,1,,53,19
5496,note_on,,,,,0,0,3,,,,,,,1,,50,24
5496,note_on,,,,,24,0,3,,,,,,,1,,59,32
5496,set_tempo,,,,,24,1,0,,1250000,,,,,,,,
5496,note_on,,,,,0,0,3,,,,,,,1,,55,16
5510,note_on,,,,,14,0,3,,,,,,,1,,50,0
5510,note_on,,,,,0,0,3,,,,,,,1,,53,0
5510,note_on,,,,,0,0,3,,,,,,,1,,59,0
5510,note_on,,,,,0,0,3,,,,,,,1,,55,0
5520,set_tempo,,,,,24,1,0,,1224489,,,,,,,,
5520,note_on,,,,,0,0,3,,,,,,,1,,53,16
5520,note_on,,,,,0,0,3,,,,,,,1,,55,10
5520,note_on,,,,,0,0,3,,,,,,,1,,50,28
5520,note_on,,,,,10,0,3,,,,,,,1,,59,35
5526,note_on,,,,,53,0,2,,,,,,,0,,86,48
5528,note_on,,,,,2,0,2,,,,,,,0,,89,0
5532,note_on,,,,,4,0,2,,,,,,,0,,83,50
5534,note_on,,,,,2,0,2,,,,,,,0,,86,0
5538,note_on,,,,,0,0,3,,,,,,,1,,55,0
5538,note_on,,,,,0,0,3,,,,,,,1,,59,0
5538,note_on,,,,,0,0,3,,,,,,,1,,53,0
5538,note_on,,,,,18,0,3,,,,,,,1,,50,0
5538,note_on,,,,,4,0,2,,,,,,,0,,79,52
5540,note_on,,,,,2,0,2,,,,,,,0,,83,0
5544,note_on,,,,,4,0,2,,,,,,,0,,77,54
5544,set_tempo,,,,,24,1,0,,1176470,,,,,,,,
5544,note_on,,,,,0,0,3,,,,,,,1,,55,12
5544,note_on,,,,,0,0,3,,,,,,,1,,53,18
5544,note_on,,,,,6,0,3,,,,,,,1,,59,30
5544,note_on,,,,,0,0,3,,,,,,,1,,50,22
5546,note_on,,,,,2,0,2,,,,,,,0,,79,0
5550,note_on,,,,,4,0,2,,,,,,,0,,74,56
5552,note_on,,,,,2,0,2,,,,,,,0,,77,0
5556,note_on,,,,,4,0,2,,,,,,,0,,71,58
5558,note_on,,,,,2,0,2,,,,,,,0,,74,0
5560,note_on,,,,,0,0,3,,,,,,,1,,55,0
5560,note_on,,,,,0,0,3,,,,,,,1,,53,0
5560,note_on,,,,,16,0,3,,,,,,,1,,50,0
5560,note_on,,,,,0,0,3,,,,,,,1,,59,0
5562,note_on,,,,,4,0,2,,,,,,,0,,65,62
5564,note_on,,,,,2,0,2,,,,,,,0,,71,0
5568,note_on,,,,,0,0,3,,,,,,,1,,48,35
5568,set_tempo,,,,,24,1,0,,1250000,,,,,,,,
5568,note_on,,,,,0,0,3,,,,,,,1,,36,50
5568,note_on,,,,,0,0,3,,,,,,,1,,43,0
5568,control_change,,,,,92,0,5,,,,,64,127,1,,,
5568,control_change,,,,,92,0,4,,,,,64,127,0,,,
5568,note_on,,,,,8,0,3,,,,,,,1,,31,0
5568,note_on,,,,,4,0,2,,,,,,,0,,64,60
5570,control_change,,,,,2,0,5,,,,,64,0,1,,,
5570,control_change,,,,,2,0,4,,,,,64,0,0,,,
5570,note_on,,,,,2,0,2,,,,,,,0,,65,0
5572,control_change,,,,,2,0,5,,,,,64,127,1,,,
5572,control_change,,,,,2,0,4,,,,,64,127,0,,,
5574,note_on,,,,,4,0,2,,,,,,,0,,66,58
5576,note_on,,,,,2,0,2,,,,,,,0,,64,0
5580,note_on,,,,,4,0,2,,,,,,,0,,67,56
5582,note_on,,,,,2,0,2,,,,,,,0,,66,0
5586,note_on,,,,,4,0,2,,,,,,,0,,66,59
5588,note_on,,,,,2,0,2,,,,,,,0,,67,0
5592,set_tempo,,,,,24,1,0,,1224489,,,,,,,,
5592,note_on,,,,,4,0,2,,,,,,,0,,67,57
5592,note_on,,,,,24,0,3,,,,,,,1,,60,30
5592,note_on,,,,,0,0,3,,,,,,,1,,55,25
5592,note_on,,,,,0,0,3,,,,,,,1,,52,15
5594,note_on,,,,,2,0,3,,,,,,,1,,36,0
5594,note_on,,,,,2,0,2,,,,,,,0,,66,0
5594,note_on,,,,,0,0,3,,,,,,,1,,48,0
5598,note_on,,,,,4,0,2,,,,,,,0,,71,55
5600,note_on,,,,,2,0,2,,,,,,,0,,67,0
5604,note_on,,,,,4,0,2,,,,,,,0,,72,53
5606,note_on,,,,,0,0,3,,,,,,,1,,60,0
5606,note_on,,,,,0,0,3,,,,,,,1,,55,0
5606,note_on,,,,,12,0,3,,,,,,,1,,52,0
5606,note_on,,,,,2,0,2,,,,,,,0,,71,0
5610,note_on,,,,,4,0,2,,,,,,,0,,71,56
5612,note_on,,,,,2,0,2,,,,,,,0,,72,0
5616,note_on,,,,,4,0,2,,,,,,,0,,72,54
5616,note_on,,,,,0,0,3,,,,,,,1,,52,20
5616,note_on,,,,,0,0,3,,,,,,,1,,55,26
5616,note_on,,,,,10,0,3,,,,,,,1,,60,35
5618,note_on,,,,,2,0,2,,,,,,,0,,71,0
5622,note_on,,,,,4,0,2,,,,,,,0,,75,52
5624,note_on,,,,,2,0,2,,,,,,,0,,72,0
5628,note_on,,,,,4,0,2,,,,,,,0,,76,50
5630,note_on,,,,,2,0,2,,,,,,,0,,75,0
5634,note_on,,,,,18,0,3,,,,,,,1,,52,0
5634,note_on,,,,,0,0,3,,,,,,,1,,55,0
5634,note_on,,,,,0,0,3,,,,,,,1,,60,0
5634,note_on,,,,,4,0,2,,,,,,,0,,75,53
5636,note_on,,,,,2,0,2,,,,,,,0,,76,0
5640,note_on,,,,,4,0,2,,,,,,,0,,76,51
5640,note_on,,,,,0,0,3,,,,,,,1,,55,27
5640,note_on,,,,,6,0,3,,,,,,,1,,60,32
5640,note_on,,,,,0,0,3,,,,,,,1,,52,17
5640,set_tempo,,,,,48,1,0,,1250000,,,,,,,,
5642,note_on,,,,,2,0,2,,,,,,,0,,75,0
5646,note_on,,,,,4,0,2,,,,,,,0,,78,49
5648,note_on,,,,,2,0,2,,,,,,,0,,76,0
5652,note_on,,,,,4,0,2,,,,,,,0,,79,47
5654,note_on,,,,,2,0,2,,,,,,,0,,78,0
5656,note_on,,,,,16,0,3,,,,,,,1,,52,0
5656,note_on,,,,,0,0,3,,,,,,,1,,55,0
5656,note_on,,,,,0,0,3,,,,,,,1,,60,0
5658,note_on,,,,,4,0,2,,,,,,,0,,78,50
5660,note_on,,,,,2,0,2,,,,,,,0,,79,0
5664,set_tempo,,,,,24,1,0,,1224489,,,,,,,,
5664,note_on,,,,,8,0,3,,,,,,,1,,52,30
5664,note_on,,,,,4,0,2,,,,,,,0,,79,48
5664,note_on,,,,,0,0,3,,,,,,,1,,40,45
5666,control_change,,,,,94,0,4,,,,,64,0,0,,,
5666,control_change,,,,,94,0,5,,,,,64,0,1,,,
5666,note_on,,,,,2,0,2,,,,,,,0,,78,0
5668,control_change,,,,,2,0,5,,,,,64,127,1,,,
5668,control_change,,,,,2,0,4,,,,,64,127,0,,,
5670,note_on,,,,,4,0,2,,,,,,,0,,83,46
5672,note_on,,,,,2,0,2,,,,,,,0,,79,0
5676,note_on,,,,,4,0,2,,,,,,,0,,84,44
5678,note_on,,,,,2,0,2,,,,,,,0,,83,0
5682,note_on,,,,,4,0,2,,,,,,,0,,83,47
5684,note_on,,,,,2,0,2,,,,,,,0,,84,0
5688,note_on,,,,,0,0,3,,,,,,,1,,60,30
5688,note_on,,,,,4,0,2,,,,,,,0,,84,45
5688,note_on,,,,,24,0,3,,,,,,,1,,52,0
5688,set_tempo,,,,,24,1,0,,1200000,,,,,,,,
5688,note_on,,,,,0,0,3,,,,,,,1,,55,18
5688,note_on,,,,,0,0,3,,,,,,,1,,52,25
5690,note_on,,,,,2,0,3,,,,,,,1,,40,0
5690,note_on,,,,,2,0,2,,,,,,,0,,83,0
5694,note_on,,,,,4,0,2,,,,,,,0,,87,43
5696,note_on,,,,,2,0,2,,,,,,,0,,84,0
5700,note_on,,,,,4,0,2,,,,,,,0,,88,41
5702,note_on,,,,,12,0,3,,,,,,,1,,52,0
5702,note_on,,,,,0,0,3,,,,,,,1,,55,0
5702,note_on,,,,,0,0,3,,,,,,,1,,60,0
5702,note_on,,,,,2,0,2,,,,,,,0,,87,0
5706,note_on,,,,,4,0,2,,,,,,,0,,87,44
5708,note_on,,,,,2,0,2,,,,,,,0,,88,0
5712,note_on,,,,,0,0,3,,,,,,,1,,55,22
5712,note_on,,,,,4,0,2,,,,,,,0,,88,42
5712,note_on,,,,,0,0,3,,,,,,,1,,52,30
5712,note_on,,,,,10,0,3,,,,,,,1,,60,35
5714,note_on,,,,,2,0,2,,,,,,,0,,87,0
5718,note_on,,,,,4,0,2,,,,,,,0,,86,45
5720,note_on,,,,,2,0,2,,,,,,,0,,88,0
5724,note_on,,,,,4,0,2,,,,,,,0,,84,48
5726,note_on,,,,,2,0,2,,,,,,,0,,86,0
5730,note_on,,,,,4,0,2,,,,,,,0,,83,51
5730,note_on,,,,,0,0,3,,,,,,,1,,60,0
5730,note_on,,,,,0,0,3,,,,,,,1,,55,0
5730,note_on,,,,,18,0,3,,,,,,,1,,52,0
5732,note_on,,,,,2,0,2,,,,,,,0,,84,0
5736,note_on,,,,,0,0,3,,,,,,,1,,52,34
5736,set_tempo,,,,,48,1,0,,1250000,,,,,,,,
5736,note_on,,,,,6,0,3,,,,,,,1,,60,39
5736,note_on,,,,,4,0,2,,,,,,,0,,81,54
5736,note_on,,,,,0,0,3,,,,,,,1,,55,27
5738,note_on,,,,,2,0,2,,,,,,,0,,83,0
5742,note_on,,,,,4,0,2,,,,,,,0,,79,57
5744,note_on,,,,,2,0,2,,,,,,,0,,81,0
5748,note_on,,,,,4,0,2,,,,,,,0,,77,52
5750,note_on,,,,,2,0,2,,,,,,,0,,79,0
5752,note_on,,,,,0,0,3,,,,,,,1,,60,0
5752,note_on,,,,,0,0,3,,,,,,,1,,55,0
5752,note_on,,,,,16,0,3,,,,,,,1,,52,0
5754,note_on,,,,,4,0,2,,,,,,,0,,76,48
5756,note_on,,,,,2,0,2,,,,,,,0,,77,0
5760,note_on,,,,,4,0,2,,,,,,,0,,74,50
5760,note_on,,,,,8,0,3,,,,,,,1,,53,40
5760,set_tempo,,,,,24,1,0,,1224489,,,,,,,,
5760,control_change,,,,,92,0,4,,,,,64,127,0,,,
5760,control_change,,,,,92,0,5,,,,,64,127,1,,,
5760,note_on,,,,,0,0,3,,,,,,,1,,41,55
5762,control_change,,,,,2,0,5,,,,,64,0,1,,,
5762,note_on,,,,,2,0,2,,,,,,,0,,76,0
5762,control_change,,,,,2,0,4,,,,,64,0,0,,,
5764,note_on,,,,,2,0,2,,,,,,,0,,74,0
5766,note_on,,,,,2,0,2,,,,,,,0,,69,52
5769,note_on,,,,,3,0,2,,,,,,,0,,69,0
5772,note_on,,,,,3,0,2,,,,,,,0,,71,49
5775,note_on,,,,,3,0,2,,,,,,,0,,71,0
5778,note_on,,,,,3,0,2,,,,,,,0,,73,46
5781,note_on,,,,,3,0,2,,,,,,,0,,73,0
5784,note_on,,,,,3,0,2,,,,,,,0,,74,48
5784,note_on,,,,,0,0,3,,,,,,,1,,57,15
5784,note_on,,,,,0,0,3,,,,,,,1,,60,25
5784,note_on,,,,,0,0,3,,,,,,,1,,62,30
5784,note_on,,,,,24,0,3,,,,,,,1,,53,0
5784,set_tempo,,,,,24,1,0,,1200000,,,,,,,,
5786,note_on,,,,,2,0,3,,,,,,,1,,41,0
5787,note_on,,,,,3,0,2,,,,,,,0,,74,0
5790,note_on,,,,,3,0,2,,,,,,,0,,76,45
5793,note_on,,,,,3,0,2,,,,,,,0,,76,0
5796,note_on,,,,,3,0,2,,,,,,,0,,77,43
5798,note_on,,,,,0,0,3,,,,,,,1,,60,0
5798,note_on,,,,,0,0,3,,,,,,,1,,62,0
5798,note_on,,,,,12,0,3,,,,,,,1,,57,0
5799,note_on,,,,,3,0,2,,,,,,,0,,77,0
5802,note_on,,,,,3,0,2,,,,,,,0,,76,46
5805,note_on,,,,,3,0,2,,,,,,,0,,76,0
5808,note_on,,,,,3,0,2,,,,,,,0,,74,50
5808,note_on,,,,,10,0,3,,,,,,,1,,53,45
5812,note_on,,,,,4,0,2,,,,,,,0,,74,0
5814,note_on,,,,,2,0,2,,,,,,,0,,69,52
5817,note_on,,,,,3,0,2,,,,,,,0,,69,0
5820,note_on,,,,,3,0,2,,,,,,,0,,71,49
5823,note_on,,,,,3,0,2,,,,,,,0,,71,0
5826,note_on,,,,,18,0,3,,,,,,,1,,53,0
5826,note_on,,,,,3,0,2,,,,,,,0,,73,46
5829,note_on,,,,,3,0,2,,,,,,,0,,73,0
5832,set_tempo,,,,,48,1,0,,1250000,,,,,,,,
5832,note_on,,,,,6,0,3,,,,,,,1,,62,30
5832,note_on,,,,,0,0,3,,,,,,,1,,60,25
5832,note_on,,,,,0,0,3,,,,,,,1,,57,15
5832,note_on,,,,,3,0,2,,,,,,,0,,74,48
5835,note_on,,,,,3,0,2,,,,,,,0,,74,0
5838,note_on,,,,,3,0,2,,,,,,,0,,76,45
5841,note_on,,,,,3,0,2,,,,,,,0,,76,0
5844,note_on,,,,,3,0,2,,,,,,,0,,77,43
5847,note_on,,,,,3,0,2,,,,,,,0,,77,0
5848,note_on,,,,,0,0,3,,,,,,,1,,60,0
5848,note_on,,,,,16,0,3,,,,,,,1,,57,0
5848,note_on,,,,,0,0,3,,,,,,,1,,62,0
5850,note_on,,,,,3,0,2,,,,,,,0,,76,46
5853,note_on,,,,,3,0,2,,,,,,,0,,76,0
5856,set_tempo,,,,,24,1,0,,1224489,,,,,,,,
5856,note_on,,,,,8,0,3,,,,,,,1,,53,35
5856,note_on,,,,,0,0,3,,,,,,,1,,41,50
5856,note_on,,,,,3,0,2,,,,,,,0,,74,50
5860,note_on,,,,,4,0,2,,,,,,,0,,74,0
5862,note_on,,,,,2,0,2,,,,,,,0,,69,52
5865,note_on,,,,,3,0,2,,,,,,,0,,69,0
5868,note_on,,,,,3,0,2,,,,,,,0,,71,49
5871,note_on,,,,,3,0,2,,,,,,,0,,71,0
5874,note_on,,,,,3,0,2,,,,,,,0,,73,46
5876,note_on,,,,,20,0,3,,,,,,,1,,41,0
5876,note_on,,,,,0,0,3,,,,,,,1,,53,0
5877,note_on,,,,,3,0,2,,,,,,,0,,73,0
5880,note_on,,,,,3,0,2,,,,,,,0,,74,48
5880,note_on,,,,,4,0,3,,,,,,,1,,62,30
5880,note_on,,,,,0,0,3,,,,,,,1,,60,18
5880,note_on,,,,,0,0,3,,,,,,,1,,57,15
5880,set_tempo,,,,,24,1,0,,1200000,,,,,,,,
5883,note_on,,,,,3,0,2,,,,,,,0,,74,0
5886,note_on,,,,,3,0,2,,,,,,,0,,76,45
5889,note_on,,,,,3,0,2,,,,,,,0,,76,0
5892,note_on,,,,,3,0,2,,,,,,,0,,77,43
5894,note_on,,,,,0,0,3,,,,,,,1,,62,0
5894,note_on,,,,,0,0,3,,,,,,,1,,60,0
5894,note_on,,,,,14,0,3,,,,,,,1,,57,0
5895,note_on,,,,,3,0,2,,,,,,,0,,77,0
5898,note_on,,,,,3,0,2,,,,,,,0,,79,40
5901,note_on,,,,,3,0,2,,,,,,,0,,79,0
5904,note_on,,,,,10,0,3,,,,,,,1,,53,40
5904,note_on,,,,,3,0,2,,,,,,,0,,81,55
5910,note_on,,,,,6,0,2,,,,,,,0,,79,42
5912,note_on,,,,,2,0,2,,,,,,,0,,81,0
5913,note_on,,,,,1,0,2,,,,,,,0,,79,0
5916,note_on,,,,,3,0,2,,,,,,,0,,77,45
5919,note_on,,,,,3,0,2,,,,,,,0,,77,0
5920,note_on,,,,,16,0,3,,,,,,,1,,53,0
5922,note_on,,,,,3,0,2,,,,,,,0,,76,48
5925,note_on,,,,,3,0,2,,,,,,,0,,76,0
5928,note_on,,,,,8,0,3,,,,,,,1,,62,30
5928,set_tempo,,,,,48,1,0,,1250000,,,,,,,,
5928,note_on,,,,,0,0,3,,,,,,,1,,60,16
5928,note_on,,,,,0,0,3,,,,,,,1,,57,27
5928,note_on,,,,,3,0,2,,,,,,,0,,74,51
5931,note_on,,,,,3,0,2,,,,,,,0,,74,0
5934,note_on,,,,,3,0,2,,,,,,,0,,72,54
5937,note_on,,,,,3,0,2,,,,,,,0,,72,0
5940,note_on,,,,,0,0,3,,,,,,,1,,60,0
5940,note_on,,,,,0,0,3,,,,,,,1,,62,0
5940,note_on,,,,,3,0,2,,,,,,,0,,71,56
5940,note_on,,,,,12,0,3,,,,,,,1,,57,0
5943,note_on,,,,,3,0,2,,,,,,,0,,71,0
5946,note_on,,,,,3,0,2,,,,,,,0,,69,58
5949,note_on,,,,,3,0,2,,,,,,,0,,69,0
5952,note_on,,,,,12,0,3,,,,,,,1,,43,35
5952,control_change,,,,,190,0,4,,,,,64,0,0,,,
5952,control_change,,,,,190,0,5,,,,,64,0,1,,,
5952,note_on,,,,,3,0,2,,,,,,,0,,67,60
5952,note_on,,,,,0,0,3,,,,,,,1,,31,50
5956,control_change,,,,,4,0,5,,,,,64,127,1,,,
5956,control_change,,,,,4,0,4,,,,,64,127,0,,,
5964,note_on,,,,,12,0,2,,,,,,,0,,69,62
5966,note_on,,,,,2,0,2,,,,,,,0,,67,0
5970,note_on,,,,,4,0,2,,,,,,,0,,71,59
5972,note_on,,,,,2,0,2,,,,,,,0,,69,0
5976,note_on,,,,,0,0,3,,,,,,,1,,55,15
5976,set_tempo,,,,,48,1,0,,1224489,,,,,,,,
5976,note_on,,,,,24,0,3,,,,,,,1,,64,30
5976,note_on,,,,,0,0,3,,,,,,,1,,60,25
5976,note_on,,,,,4,0,2,,,,,,,0,,72,57
5978,note_on,,,,,2,0,2,,,,,,,0,,71,0
5978,note_on,,,,,0,0,3,,,,,,,1,,43,0
5978,note_on,,,,,2,0,3,,,,,,,1,,31,0
5982,note_on,,,,,4,0,2,,,,,,,0,,74,55
5984,note_on,,,,,2,0,2,,,,,,,0,,72,0
5988,note_on,,,,,4,0,2,,,,,,,0,,76,53
5990,note_on,,,,,0,0,3,,,,,,,1,,64,0
5990,note_on,,,,,2,0,2,,,,,,,0,,74,0
5990,note_on,,,,,12,0,3,,,,,,,1,,55,0
5990,note_on,,,,,0,0,3,,,,,,,1,,60,0
5994,note_on,,,,,4,0,2,,,,,,,0,,77,56
5996,note_on,,,,,2,0,2,,,,,,,0,,76,0
6000,note_on,,,,,0,0,3,,,,,,,1,,60,26
6000,note_on,,,,,4,0,2,,,,,,,0,,79,59
6000,note_on,,,,,0,0,3,,,,,,,1,,55,20
6000,note_on,,,,,10,0,3,,,,,,,1,,64,35
6002,note_on,,,,,2,0,2,,,,,,,0,,77,0
6012,note_on,,,,,10,0,2,,,,,,,0,,81,61
6014,note_on,,,,,2,0,2,,,,,,,0,,79,0
6018,note_on,,,,,0,0,3,,,,,,,1,,64,0
6018,note_on,,,,,18,0,3,,,,,,,1,,55,0
6018,note_on,,,,,4,0,2,,,,,,,0,,83,63
6018,note_on,,,,,0,0,3,,,,,,,1,,60,0
6020,note_on,,,,,2,0,2,,,,,,,0,,81,0
6024,note_on,,,,,4,0,2,,,,,,,0,,84,60
6024,set_tempo,,,,,48,1,0,,1276595,,,,,,,,
6024,note_on,,,,,0,0,3,,,,,,,1,,60,27
6024,note_on,,,,,0,0,3,,,,,,,1,,55,17
6024,note_on,,,,,6,0,3,,,,,,,1,,64,32
6026,note_on,,,,,2,0,2,,,,,,,0,,83,0
6030,note_on,,,,,4,0,2,,,,,,,0,,86,58
6032,note_on,,,,,2,0,2,,,,,,,0,,84,0
6036,note_on,,,,,4,0,2,,,,,,,0,,88,56
6038,note_on,,,,,2,0,2,,,,,,,0,,86,0
6040,note_on,,,,,0,0,3,,,,,,,1,,60,0
6040,note_on,,,,,16,0,3,,,,,,,1,,55,0
6040,note_on,,,,,0,0,3,,,,,,,1,,64,0
6042,note_on,,,,,4,0,2,,,,,,,0,,89,54
6044,note_on,,,,,2,0,2,,,,,,,0,,88,0
6048,set_tempo,,,,,24,1,0,,1250000,,,,,,,,
6048,note_on,,,,,4,0,2,,,,,,,0,,91,57
6048,note_on,,,,,0,0,3,,,,,,,1,,55,20
6048,note_on,,,,,0,0,3,,,,,,,1,,60,25
6048,note_on,,,,,8,0,3,,,,,,,1,,64,35
6050,note_on,,,,,2,0,2,,,,,,,0,,89,0
6052,control_change,,,,,96,0,4,,,,,64,0,0,,,
6052,control_change,,,,,96,0,5,,,,,64,0,1,,,
6058,note_on,,,,,8,0,2,,,,,,,0,,91,0
6072,note_on,,,,,0,0,3,,,,,,,1,,64,0
6072,note_on,,,,,0,0,3,,,,,,,1,,60,0
6072,note_on,,,,,24,0,3,,,,,,,1,,55,0
6072,set_tempo,,,,,24,1,0,,1224489,,,,,,,,
6072,note_on,,,,,14,0,2,,,,,,,0,,93,62
6080,note_on,,,,,8,0,2,,,,,,,0,,93,0
6096,set_tempo,,,,,24,1,0,,1276595,,,,,,,,
6096,note_on,,,,,16,0,2,,,,,,,0,,95,66
6102,note_on,,,,,6,0,2,,,,,,,0,,95,0
6120,note_on,,,,,18,0,2,,,,,,,0,,96,70
6120,set_tempo,,,,,24,1,0,,1395348,,,,,,,,
6128,note_on,,,,,8,0,2,,,,,,,0,,96,0
6144,set_tempo,,,,,24,1,0,,1276595,,,,,,,,
6144,control_change,,,,,92,0,4,,,,,64,0,0,,,
6144,control_change,,,,,92,0,5,,,,,64,0,1,,,
6144,note_on,,,,,0,0,3,,,,,,,1,,31,50
6144,note_on,,,,,72,0,3,,,,,,,1,,43,35
6144,note_on,,,,,16,0,2,,,,,,,0,,74,55
6148,control_change,,,,,4,0,4,,,,,64,127,0,,,
6148,control_change,,,,,4,0,5,,,,,64,127,1,,,
6150,note_on,,,,,6,0,2,,,,,,,0,,76,40
6152,note_on,,,,,2,0,2,,,,,,,0,,74,0
6154,note_on,,,,,2,0,2,,,,,,,0,,74,43
6155,note_on,,,,,1,0,2,,,,,,,0,,76,0
6157,note_on,,,,,2,0,2,,,,,,,0,,76,41
6158,note_on,,,,,1,0,2,,,,,,,0,,74,0
6159,note_on,,,,,1,0,2,,,,,,,0,,74,44
6161,note_on,,,,,2,0,2,,,,,,,0,,76,0
6162,note_on,,,,,1,0,2,,,,,,,0,,76,47
6163,note_on,,,,,1,0,2,,,,,,,0,,74,0
6165,note_on,,,,,2,0,2,,,,,,,0,,74,43
6166,note_on,,,,,1,0,2,,,,,,,0,,76,0
6168,note_on,,,,,2,0,2,,,,,,,0,,76,48
6168,set_tempo,,,,,24,1,0,,1250000,,,,,,,,
6168,note_on,,,,,24,0,3,,,,,,,1,,65,40
6168,note_on,,,,,0,0,3,,,,,,,1,,62,28
6168,note_on,,,,,0,0,3,,,,,,,1,,55,25
6168,note_on,,,,,0,0,3,,,,,,,1,,60,35
6169,note_on,,,,,1,0,2,,,,,,,0,,74,0
6170,note_on,,,,,2,0,3,,,,,,,1,,31,0
6170,note_on,,,,,1,0,2,,,,,,,0,,74,46
6170,note_on,,,,,0,0,3,,,,,,,1,,43,0
6172,note_on,,,,,2,0,2,,,,,,,0,,76,0
6173,note_on,,,,,1,0,2,,,,,,,0,,76,50
6174,note_on,,,,,1,0,2,,,,,,,0,,74,0
6175,note_on,,,,,1,0,2,,,,,,,0,,74,52
6177,note_on,,,,,0,0,2,,,,,,,0,,76,48
6177,note_on,,,,,2,0,2,,,,,,,0,,76,0
6179,note_on,,,,,2,0,2,,,,,,,0,,74,0
6180,note_on,,,,,1,0,2,,,,,,,0,,74,50
